Timestamp,What is your level of interest in contributing to the proposed changes to the core CS degree?,How do you feel about the vision statement?,The vision of the proposed CS degree aligns well with the BYU AIM of being intellectually enlarging,The vision of the proposed CS degree aligns well with the BYU AIM of being character building,The vision of the proposed CS degree aligns well with the BYU AIM of leading to lifelong learning,Discuss strengths of the vision,Discuss weaknesses of the vision,How do you feel about the elements of the proposed junior core?,The junior core aligns well with the BYU AIM of being intellectually enlarging,The junior core aligns well with the BYU AIM of being character building,The junior core aligns well with the BYU AIM of leading to lifelong learning,Discuss strengths of the junior core,Discuss weaknesses of the junior core,How do you feel about the math foundations?,The math foundations align well with the BYU AIM of being intellectually enlarging,The math foundations align well with the BYU AIM of being character building,The math foundations align well with the BYU AIM of leading to lifelong learning,Discuss strengths of the math foundations,Discuss weaknesses of the math foundations,How do you feel about the proposed breadth/depth elective structure (not specific elective areas)?,The breadth/depth elective structure of the proposed CS degree aligns well with the BYU AIM of being intellectually enlarging,The breadth/depth elective structure of the proposed CS degree aligns well with the BYU AIM of being character building,The breadth/depth elective structure of the proposed CS degree aligns well with the BYU AIM of leading to lifelong learning,Discuss strengths of the breadth/depth elective requirement,Discuss weaknesses of the breadth/depth elective requirement,How do you feel about requiring some form of experiential learning?,The experiential learning requirement of the proposed CS degree aligns well with the BYU AIM of being intellectually enlarging,The experiential learning requirement of the proposed CS degree aligns well with the BYU AIM of being character building,The experiential learning requirement of the proposed CS degree aligns well with the BYU AIM of leading to lifelong learning,Discuss strengths of the experiential learning requirement,Discuss weaknesses of the experiential learning requirement
3/12/26 8:52,5,Generally support,,,,,,Generally support,,,,,,Generally support,,,,,,Generally support,,,,,,Generally support,,,,,
3/12/26 16:01,5,Generally do not support,Agree,Neutral,Disagree,I think that abstraction is an important topic for managing agents,I do not think that future CS jobs will rely on Theory as much as on AI and other more relevant topics,Generally support,Agree,Neutral,Disagree,I really like the idea of a cohort.  If students take these classes as a cohort it could be a improved experience ,I do not think that 330 and 370 are as important as agentic computing ,Generally do not support,Neutral,Neutral,Disagree,I like the proposal to remove physics,I think that other skills are more important than more math.  I don’t think Stat 240 is valuable enough to be required ,Generally do not support,Disagree,Disagree,Disagree,I think we need to reduce the number of electives.,Two courses in the theory pool are very specialized with only one faculty member while other areas with a dozen faculty members have equal emphasis.  I think the pools should be more focused on LLMs and the direction the field is moving,Generally support,Agree,Agree,Agree,I like an experiential learning requirement and this proposal seems plausible ,It is really hard to recruit corporate capstones.  I think we need to create internal capstone experiences that can scale
3/12/26 16:56,1,Generally support,Strongly agree,Agree,Agree,,,Generally support,Agree,Agree,Agree,,"It's weird to require 370 as a core requirement. Given the list of topics in the course, I think this prioritizes an outdated view of AI (search and planning? really?) I would much rather see 270 required.",Generally support,Agree,Agree,Agree,,,Generally support,Strongly agree,Agree,Agree,,,Generally support,Agree,Strongly agree,Agree,,
3/12/26 17:04,5,Generally support,Strongly agree,Agree,Strongly agree,,,Generally support,Strongly agree,Agree,Agree,,,Generally support,Strongly agree,Neutral,Agree,,,Generally support,Strongly agree,Neutral,Strongly agree,,,Generally support,Agree,Strongly agree,Agree,,
3/12/26 20:06,3,Generally support,Neutral,Neutral,Neutral,,,Generally support,Neutral,Neutral,Neutral,,,Generally support,Agree,Agree,Agree,,,Generally do not support,Neutral,Disagree,Disagree,,,Generally support,Neutral,Neutral,Neutral,,
3/12/26 22:58,4,Generally support,Agree,Agree,Agree,"The focus on durable concepts will lead to more material that is abstract (and therefore generalizable) and theoretical, which I strongly support.",CS as the science of abstraction is compelling but I don't know if it's strictly true,Generally support,Agree,Agree,Agree,They are solidly traditional CS courses that provide a foundation for the study and use of computing and computing instruments,,Generally support,Agree,Neutral,Agree,A broad math base is good,I would love to see 290 in it,Generally support,Agree,Neutral,Agree,,,Generally support,Strongly agree,Strongly agree,Strongly agree,It's hard to beat this kind of experience,I hope that some (exceptional) students can take it before junior core
3/13/26 16:22,4,Generally support,Agree,Agree,Agree,I like the focus on abstraction and I think communication is vital,,Generally support,Agree,Agree,Agree,We haven't required 330 for a while (we used to). I like that. I assume that 352 is just a renumbered 452. I like this move to require it as well.,I am not sure why require 370 (I assume this is renumbered 470). You could argue that Intro to ML (CS 270) is just as needed. Maybe it should be an either/or. ,Generally support,Agree,Agree,Agree,Good math foundation. I like the addition of probability.,,Generally support,Agree,Agree,Agree,,,Generally support,Agree,Agree,Agree,,"It will be difficult to have all the companies that students get internships with agree to the learning activities, etc."
3/16/26 9:12,4,Generally support,Agree,Agree,Agree,,,Generally support,Agree,Agree,Agree,,,Generally support,Agree,Agree,Agree,,,Generally support,Agree,Agree,Agree,,,Generally support,Agree,Agree,Agree,,
3/16/26 9:48,4,Generally support,Agree,Agree,Agree,,,Generally support,Agree,Agree,Agree,,,Generally support,Agree,Agree,Agree,,,Generally support,Agree,Agree,Agree,,,Generally support,Agree,Agree,Agree,,
3/16/26 10:56,5,Generally support,Neutral,Neutral,Neutral,Focus on abstractions as a key learning outcome.,Too abstract.,Generally do not support,Neutral,Neutral,Neutral,It is close to what we already have (low implementation burden).,"CS 370 - what is described is an introduction to ML, NOT an introduction to AI. While very interesting, these topics are not relevant to the *general* CS degree as a *core* course (but could make a great elective option). I would be interested in knowing how much the ACME junior core covers these same topics.",Generally support,Agree,Agree,Neutral,These cover the general foundations of mathematical reasoning. ,,Generally do not support,Neutral,Neutral,Neutral,,"I would avoid putting the diversity of offerings into an artificial 4 categories; for example, HCI and graphics are SO different from each other. There's probably a different strategy for addressing this outcome.",Generally support,Agree,Agree,Agree,,Resources and staffing. These experiences work well now because faculty have time to dedicate attention to students. Requiring all students to do this will dilute the value of the requirement. I don't think this is a viable requirement at current enrollment ratios. 
